date,workout_name,workout_type,notes,exercise_name,set_number,reps,weight_kg,rpe
2024-01-29,Push B,push,,Écarté haltères,1,12,14,6
2024-01-29,Push B,push,,Écarté haltères,2,12,14,7
2024-01-29,Push B,push,,Écarté haltères,3,10,14,8
2024-01-31,Pull B,pull,,Soulevé de terre,1,5,110,7.5
2024-01-31,Pull B,pull,,Soulevé de terre,2,5,110,8
2024-01-31,Pull B,pull,,Soulevé de terre,3,4,110,8.5
2024-01-31,Pull B,pull,,Rowing haltère,1,10,26,7
2024-01-31,Pull B,pull,,Rowing haltère,2,10,26,8
2024-01-31,Pull B,pull,,Rowing haltère,3,8,26,8.5
2024-01-31,Pull B,pull,,Tirage horizontal poulie,1,10,50,7
2024-01-31,Pull B,pull,,Tirage horizontal poulie,2,10,50,8
2024-01-31,Pull B,pull,,Tirage horizontal poulie,3,8,50,8
2024-01-31,Pull B,pull,,Curl marteau,1,12,16,7
2024-01-31,Pull B,pull,,Curl marteau,2,10,16,8
2024-01-31,Pull B,pull,,Curl marteau,3,10,16,8.5
2024-02-02,Legs B,legs,,Squat bulgare,1,10,18,7.5
2024-02-02,Legs B,legs,,Squat bulgare,2,8,18,8
2024-02-02,Legs B,legs,,Squat bulgare,3,8,18,8.5
2024-02-02,Legs B,legs,,Soulevé de terre roumain,1,8,70,7
2024-02-02,Legs B,legs,,Soulevé de terre roumain,2,8,70,8
2024-02-02,Legs B,legs,,Soulevé de terre roumain,3,6,70,8.5
2024-02-02,Legs B,legs,,Leg extension,1,15,45,7
2024-02-02,Legs B,legs,,Leg extension,2,12,45,8
2024-02-02,Legs B,legs,,Leg extension,3,12,45,8
2024-02-02,Legs B,legs,,Fentes,1,12,18,7
2024-02-02,Legs B,legs,,Fentes,2,10,18,8
2024-02-02,Legs B,legs,,Fentes,3,10,18,8.5
2024-02-05,Push A,push,,Développé couché barre,1,8,82.5,7
2024-02-05,Push A,push,,Développé couché barre,2,8,82.5,8
2024-02-05,Push A,push,,Développé couché barre,3,6,82.5,8.5
2024-02-05,Push A,push,,Développé incliné haltères,1,10,23,7
2024-02-05,Push A,push,,Développé incliné haltères,2,10,23,8
2024-02-05,Push A,push,,Développé incliné haltères,3,8,23,8.5
2024-02-05,Push A,push,,Dips,1,10,12.5,7
2024-02-05,Push A,push,,Dips,2,8,12.5,8
2024-02-05,Push A,push,,Dips,3,8,12.5,8.5
2024-02-05,Push A,push,,Extension triceps poulie,1,12,24.5,6
2024-02-05,Push A,push,,Extension triceps poulie,2,12,24.5,7
2024-02-05,Push A,push,,Extension triceps poulie,3,10,24.5,8
2024-02-07,Pull A,pull,,Tractions pronation,1,8,2.5,7.5
2024-02-07,Pull A,pull,,Tractions pronation,2,7,2.5,8
2024-02-07,Pull A,pull,,Tractions pronation,3,6,2.5,8.5
2024-02-07,Pull A,pull,,Rowing barre,1,8,62.5,7
2024-02-07,Pull A,pull,,Rowing barre,2,8,62.5,8
2024-02-07,Pull A,pull,,Rowing barre,3,6,62.5,8.5
2024-02-07,Pull A,pull,,Tirage vertical,1,10,57.5,7
2024-02-07,Pull A,pull,,Tirage vertical,2,10,57.5,8
2024-02-07,Pull A,pull,,Tirage vertical,3,8,57.5,8
2024-02-07,Pull A,pull,,Curl barre,1,10,31,7
2024-02-07,Pull A,pull,,Curl barre,2,10,31,8
2024-02-07,Pull A,pull,,Curl barre,3,8,31,8.5
2024-02-09,Legs A,legs,,Squat barre,1,6,92.5,7.5
2024-02-09,Legs A,legs,,Squat barre,2,6,92.5,8
2024-02-09,Legs A,legs,,Squat barre,3,5,92.5,8.5
2024-02-09,Legs A,legs,,Presse à cuisses,1,10,125,7
2024-02-09,Legs A,legs,,Presse à cuisses,2,10,125,8
2024-02-09,Legs A,legs,,Presse à cuisses,3,8,125,8.5
2024-02-09,Legs A,legs,,Leg curl,1,12,42.5,7
2024-02-09,Legs A,legs,,Leg curl,2,10,42.5,8
2024-02-09,Legs A,legs,,Leg curl,3,10,42.5,8.5
2024-02-09,Legs A,legs,,Hip thrust,1,10,85,7
2024-02-09,Legs A,legs,,Hip thrust,2,10,85,8
2024-02-09,Legs A,legs,,Hip thrust,3,8,85,8
2024-02-12,Push B,push,,Développé militaire,1,8,57.5,7
2024-02-12,Push B,push,,Développé militaire,2,8,57.5,8
2024-02-12,Push B,push,,Développé militaire,3,6,57.5,8.5
2024-02-12,Push B,push,,Développé couché haltères,1,10,25,7
2024-02-12,Push B,push,,Développé couché haltères,2,10,25,8
2024-02-12,Push B,push,,Développé couché haltères,3,8,25,8.5
2024-02-12,Push B,push,,Arnold press,1,10,19,7
2024-02-12,Push B,push,,Arnold press,2,10,19,8
2024-02-12,Push B,push,,Arnold press,3,8,19,8
2024-02-12,Push B,push,,Écarté haltères,1,12,15,6
2024-02-12,Push B,push,,Écarté haltères,2,12,15,7
2024-02-12,Push B,push,,Écarté haltères,3,10,15,8
2024-02-14,Pull B,pull,,Soulevé de terre,1,5,115,7.5
2024-02-14,Pull B,pull,,Soulevé de terre,2,5,115,8
2024-02-14,Pull B,pull,,Soulevé de terre,3,4,115,8.5
2024-02-14,Pull B,pull,,Rowing haltère,1,10,28,7
2024-02-14,Pull B,pull,,Rowing haltère,2,10,28,8
2024-02-14,Pull B,pull,,Rowing haltère,3,8,28,8.5
2024-02-14,Pull B,pull,,Tirage horizontal poulie,1,10,52.5,7
2024-02-14,Pull B,pull,,Tirage horizontal poulie,2,10,52.5,8
2024-02-14,Pull B,pull,,Tirage horizontal poulie,3,8,52.5,8
2024-02-14,Pull B,pull,,Curl marteau,1,12,17,7
2024-02-14,Pull B,pull,,Curl marteau,2,10,17,8
2024-02-14,Pull B,pull,,Curl marteau,3,10,17,8.5
2024-02-16,Legs B,legs,,Squat bulgare,1,10,20,7.5
2024-02-16,Legs B,legs,,Squat bulgare,2,8,20,8
2024-02-16,Legs B,legs,,Squat bulgare,3,8,20,8.5
2024-02-16,Legs B,legs,,Soulevé de terre roumain,1,8,72.5,7
2024-02-16,Legs B,legs,,Soulevé de terre roumain,2,8,72.5,8
2024-02-16,Legs B,legs,,Soulevé de terre roumain,3,6,72.5,8.5
2024-02-16,Legs B,legs,,Leg extension,1,15,47.5,7
2024-02-16,Legs B,legs,,Leg extension,2,12,47.5,8
2024-02-16,Legs B,legs,,Leg extension,3,12,47.5,8
2024-02-16,Legs B,legs,,Fentes,1,12,19,7
2024-02-16,Legs B,legs,,Fentes,2,10,19,8
2024-02-16,Legs B,legs,,Fentes,3,10,19,8.5
2024-02-19,Push A,push,,Développé couché barre,1,8,82.5,7
2024-02-19,Push A,push,,Développé couché barre,2,8,82.5,8
2024-02-19,Push A,push,,Développé couché barre,3,6,82.5,8.5
2024-02-19,Push A,push,,Développé incliné haltères,1,10,23,7
2024-02-19,Push A,push,,Développé incliné haltères,2,10,23,8
2024-02-19,Push A,push,,Développé incliné haltères,3,8,23,8.5
2024-02-19,Push A,push,,Dips,1,10,12.5,7
2024-02-19,Push A,push,,Dips,2,8,12.5,8
2024-02-19,Push A,push,,Dips,3,8,12.5,8.5
2024-02-19,Push A,push,,Extension triceps poulie,1,12,24.5,6
2024-02-19,Push A,push,,Extension triceps poulie,2,12,24.5,7
2024-02-19,Push A,push,,Extension triceps poulie,3,10,24.5,8
2024-02-21,Pull A,pull,,Tractions pronation,1,8,2.5,7.5
2024-02-21,Pull A,pull,,Tractions pronation,2,7,2.5,8
2024-02-21,Pull A,pull,,Tractions pronation,3,6,2.5,8.5
2024-02-21,Pull A,pull,,Rowing barre,1,8,62.5,7
2024-02-21,Pull A,pull,,Rowing barre,2,8,62.5,8
2024-02-21,Pull A,pull,,Rowing barre,3,6,62.5,8.5
2024-02-21,Pull A,pull,,Tirage vertical,1,10,57.5,7
2024-02-21,Pull A,pull,,Tirage vertical,2,10,57.5,8
2024-02-21,Pull A,pull,,Tirage vertical,3,8,57.5,8
2024-02-21,Pull A,pull,,Curl barre,1,10,31,7
2024-02-21,Pull A,pull,,Curl barre,2,10,31,8
2024-02-21,Pull A,pull,,Curl barre,3,8,31,8.5
2024-02-23,Legs A,legs,,Squat barre,1,6,92.5,7.5
2024-02-23,Legs A,legs,,Squat barre,2,6,92.5,8
2024-02-23,Legs A,legs,,Squat barre,3,5,92.5,8.5
2024-02-23,Legs A,legs,,Presse à cuisses,1,10,125,7
2024-02-23,Legs A,legs,,Presse à cuisses,2,10,125,8
2024-02-23,Legs A,legs,,Presse à cuisses,3,8,125,8.5
2024-02-23,Legs A,legs,,Leg curl,1,12,42.5,7
2024-02-23,Legs A,legs,,Leg curl,2,10,42.5,8
2024-02-23,Legs A,legs,,Leg curl,3,10,42.5,8.5
2024-02-23,Legs A,legs,,Hip thrust,1,10,85,7
2024-02-23,Legs A,legs,,Hip thrust,2,10,85,8
2024-02-23,Legs A,legs,,Hip thrust,3,8,85,8
2024-02-26,Push B,push,,Développé militaire,1,8,57.5,7
2024-02-26,Push B,push,,Développé militaire,2,8,57.5,8
2024-02-26,Push B,push,,Développé militaire,3,6,57.5,8.5
2024-02-26,Push B,push,,Développé couché haltères,1,10,25,7
2024-02-26,Push B,push,,Développé couché haltères,2,10,25,8
2024-02-26,Push B,push,,Développé couché haltères,3,8,25,8.5
2024-02-26,Push B,push,,Arnold press,1,10,19,7
2024-02-26,Push B,push,,Arnold press,2,10,19,8
2024-02-26,Push B,push,,Arnold press,3,8,19,8
2024-02-26,Push B,push,,Écarté haltères,1,12,15,6
2024-02-26,Push B,push,,Écarté haltères,2,12,15,7
2024-02-26,Push B,push,,Écarté haltères,3,10,15,8
2024-02-28,Pull B,pull,,Soulevé de terre,1,5,115,7.5
2024-02-28,Pull B,pull,,Soulevé de terre,2,5,115,8
2024-02-28,Pull B,pull,,Soulevé de terre,3,4,115,8.5
2024-02-28,Pull B,pull,,Rowing haltère,1,10,28,7
2024-02-28,Pull B,pull,,Rowing haltère,2,10,28,8
2024-02-28,Pull B,pull,,Rowing haltère,3,8,28,8.5
2024-02-28,Pull B,pull,,Tirage horizontal poulie,1,10,52.5,7
2024-02-28,Pull B,pull,,Tirage horizontal poulie,2,10,52.5,8
2024-02-28,Pull B,pull,,Tirage horizontal poulie,3,8,52.5,8
2024-02-28,Pull B,pull,,Curl marteau,1,12,17,7
2024-02-28,Pull B,pull,,Curl marteau,2,10,17,8
2024-02-28,Pull B,pull,,Curl marteau,3,10,17,8.5
2024-03-01,Legs B,legs,,Squat bulgare,1,10,20,7.5
2024-03-01,Legs B,legs,,Squat bulgare,2,8,20,8
2024-03-01,Legs B,legs,,Squat bulgare,3,8,20,8.5
2024-03-01,Legs B,legs,,Soulevé de terre roumain,1,8,72.5,7
2024-03-01,Legs B,legs,,Soulevé de terre roumain,2,8,72.5,8
2024-03-01,Legs B,legs,,Soulevé de terre roumain,3,6,72.5,8.5
2024-03-01,Legs B,legs,,Leg extension,1,15,47.5,7
2024-03-01,Legs B,legs,,Leg extension,2,12,47.5,8
2024-03-01,Legs B,legs,,Leg extension,3,12,47.5,8
2024-03-01,Legs B,legs,,Fentes,1,12,19,7
2024-03-01,Legs B,legs,,Fentes,2,10,19,8
2024-03-01,Legs B,legs,,Fentes,3,10,19,8.5
2024-03-04,Push A,push,,Développé couché barre,1,8,85,7
2024-03-04,Push A,push,,Développé couché barre,2,8,85,8
2024-03-04,Push A,push,,Développé couché barre,3,6,85,8.5
2024-03-04,Push A,push,,Développé incliné haltères,1,10,24,7
2024-03-04,Push A,push,,Développé incliné haltères,2,10,24,8
2024-03-04,Push A,push,,Développé incliné haltères,3,8,24,8.5
2024-03-04,Push A,push,,Dips,1,10,15,7
2024-03-04,Push A,push,,Dips,2,8,15,8
2024-03-04,Push A,push,,Dips,3,8,15,8.5
2024-03-04,Push A,push,,Extension triceps poulie,1,12,27,6
2024-03-04,Push A,push,,Extension triceps poulie,2,12,27,7
2024-03-04,Push A,push,,Extension triceps poulie,3,10,27,8
2024-03-06,Pull A,pull,,Tractions pronation,1,8,5,7.5
2024-03-06,Pull A,pull,,Tractions pronation,2,7,5,8
2024-03-06,Pull A,pull,,Tractions pronation,3,6,5,8.5
2024-03-06,Pull A,pull,,Rowing barre,1,8,65,7
2024-03-06,Pull A,pull,,Rowing barre,2,8,65,8
2024-03-06,Pull A,pull,,Rowing barre,3,6,65,8.5
2024-03-06,Pull A,pull,,Tirage vertical,1,10,60,7
2024-03-06,Pull A,pull,,Tirage vertical,2,10,60,8
2024-03-06,Pull A,pull,,Tirage vertical,3,8,60,8
2024-03-06,Pull A,pull,,Curl barre,1,10,32,7
2024-03-06,Pull A,pull,,Curl barre,2,10,32,8
2024-03-06,Pull A,pull,,Curl barre,3,8,32,8.5
2024-03-08,Legs A,legs,,Squat barre,1,6,95,7.5
2024-03-08,Legs A,legs,,Squat barre,2,6,95,8
2024-03-08,Legs A,legs,,Squat barre,3,5,95,8.5
2024-03-08,Legs A,legs,,Presse à cuisses,1,10,130,7
2024-03-08,Legs A,legs,,Presse à cuisses,2,10,130,8
2024-03-08,Legs A,legs,,Presse à cuisses,3,8,130,8.5
2024-03-08,Legs A,legs,,Leg curl,1,12,45,7
2024-03-08,Legs A,legs,,Leg curl,2,10,45,8
2024-03-08,Legs A,legs,,Leg curl,3,10,45,8.5
2024-03-08,Legs A,legs,,Hip thrust,1,10,90,7
2024-03-08,Legs A,legs,,Hip thrust,2,10,90,8
2024-03-08,Legs A,legs,,Hip thrust,3,8,90,8
2024-03-11,Push B,push,,Développé militaire,1,8,60,7
2024-03-11,Push B,push,,Développé militaire,2,8,60,8
2024-03-11,Push B,push,,Développé militaire,3,6,60,8.5
2024-03-11,Push B,push,,Développé couché haltères,1,10,26,7
2024-03-11,Push B,push,,Développé couché haltères,2,10,26,8
2024-03-11,Push B,push,,Développé couché haltères,3,8,26,8.5
2024-03-11,Push B,push,,Arnold press,1,10,20,7
2024-03-11,Push B,push,,Arnold press,2,10,20,8
2024-03-11,Push B,push,,Arnold press,3,8,20,8
2024-03-11,Push B,push,,Écarté haltères,1,12,16,6
2024-03-11,Push B,push,,Écarté haltères,2,12,16,7
2024-03-11,Push B,push,,Écarté haltères,3,10,16,8
2024-03-13,Pull B,pull,,Soulevé de terre,1,5,120,7.5
2024-03-13,Pull B,pull,,Soulevé de terre,2,5,120,8
2024-03-13,Pull B,pull,,Soulevé de terre,3,4,120,8.5
2024-03-13,Pull B,pull,,Rowing haltère,1,10,30,7
2024-03-13,Pull B,pull,,Rowing haltère,2,10,30,8
2024-03-13,Pull B,pull,,Rowing haltère,3,8,30,8.5
2024-03-13,Pull B,pull,,Tirage horizontal poulie,1,10,55,7
2024-03-13,Pull B,pull,,Tirage horizontal poulie,2,10,55,8
2024-03-13,Pull B,pull,,Tirage horizontal poulie,3,8,55,8
2024-03-13,Pull B,pull,,Curl marteau,1,12,18,7
2024-03-13,Pull B,pull,,Curl marteau,2,10,18,8
2024-03-13,Pull B,pull,,Curl marteau,3,10,18,8.5
2024-03-15,Legs B,legs,,Squat bulgare,1,10,22,7.5
2024-03-15,Legs B,legs,,Squat bulgare,2,8,22,8
2024-03-15,Legs B,legs,,Squat bulgare,3,8,22,8.5
2024-03-15,Legs B,legs,,Soulevé de terre roumain,1,8,75,7
2024-03-15,Legs B,legs,,Soulevé de terre roumain,2,8,75,8
2024-03-15,Legs B,legs,,Soulevé de terre roumain,3,6,75,8.5
2024-03-15,Legs B,legs,,Leg extension,1,15,50,7
2024-03-15,Legs B,legs,,Leg extension,2,12,50,8
2024-03-15,Legs B,legs,,Leg extension,3,12,50,8
2024-03-15,Legs B,legs,,Fentes,1,12,20,7
2024-03-15,Legs B,legs,,Fentes,2,10,20,8
2024-03-15,Legs B,legs,,Fentes,3,10,20,8.5
2024-03-18,Push A,push,,Développé couché barre,1,8,85,7
2024-03-18,Push A,push,,Développé couché barre,2,8,85,8
2024-03-18,Push A,push,,Développé couché barre,3,6,85,8.5
2024-03-18,Push A,push,,Développé incliné haltères,1,10,24,7
2024-03-18,Push A,push,,Développé incliné haltères,2,10,24,8
2024-03-18,Push A,push,,Développé incliné haltères,3,8,24,8.5
2024-03-18,Push A,push,,Dips,1,10,15,7
2024-03-18,Push A,push,,Dips,2,8,15,8
2024-03-18,Push A,push,,Dips,3,8,15,8.5
2024-03-18,Push A,push,,Extension triceps poulie,1,12,27,6
2024-03-18,Push A,push,,Extension triceps poulie,2,12,27,7
2024-03-18,Push A,push,,Extension triceps poulie,3,10,27,8
2024-03-20,Pull A,pull,,Tractions pronation,1,8,5,7.5
2024-03-20,Pull A,pull,,Tractions pronation,2,7,5,8
2024-03-20,Pull A,pull,,Tractions pronation,3,6,5,8.5
2024-03-20,Pull A,pull,,Rowing barre,1,8,65,7
2024-03-20,Pull A,pull,,Rowing barre,2,8,65,8
2024-03-20,Pull A,pull,,Rowing barre,3,6,65,8.5
2024-03-20,Pull A,pull,,Tirage vertical,1,10,60,7
2024-03-20,Pull A,pull,,Tirage vertical,2,10,60,8
2024-03-20,Pull A,pull,,Tirage vertical,3,8,60,8
2024-03-20,Pull A,pull,,Curl barre,1,10,32,7
2024-03-20,Pull A,pull,,Curl barre,2,10,32,8
2024-03-20,Pull A,pull,,Curl barre,3,8,32,8.5
2024-03-22,Legs A,legs,,Squat barre,1,6,95,7.5
2024-03-22,Legs A,legs,,Squat barre,2,6,95,8
2024-03-22,Legs A,legs,,Squat barre,3,5,95,8.5
2024-03-22,Legs A,legs,,Presse à cuisses,1,10,130,7
2024-03-22,Legs A,legs,,Presse à cuisses,2,10,130,8
2024-03-22,Legs A,legs,,Presse à cuisses,3,8,130,8.5
2024-03-22,Legs A,legs,,Leg curl,1,12,45,7
2024-03-22,Legs A,legs,,Leg curl,2,10,45,8
2024-03-22,Legs A,legs,,Leg curl,3,10,45,8.5
2024-03-22,Legs A,legs,,Hip thrust,1,10,90,7
2024-03-22,Legs A,legs,,Hip thrust,2,10,90,8
2024-03-22,Legs A,legs,,Hip thrust,3,8,90,8
2024-03-25,Push B,push,,Développé militaire,1,8,60,7
2024-03-25,Push B,push,,Développé militaire,2,8,60,8
2024-03-25,Push B,push,,Développé militaire,3,6,60,8.5
2024-03-25,Push B,push,,Développé couché haltères,1,10,26,7
2024-03-25,Push B,push,,Développé couché haltères,2,10,26,8
2024-03-25,Push B,push,,Développé couché haltères,3,8,26,8.5
2024-03-25,Push B,push,,Arnold press,1,10,20,7
2024-03-25,Push B,push,,Arnold press,2,10,20,8
2024-03-25,Push B,push,,Arnold press,3,8,20,8
2024-03-25,Push B,push,,Écarté haltères,1,12,16,6
2024-03-25,Push B,push,,Écarté haltères,2,12,16,7
2024-03-25,Push B,push,,Écarté haltères,3,10,16,8
2024-03-27,Pull B,pull,,Soulevé de terre,1,5,120,7.5
2024-03-27,Pull B,pull,,Soulevé de terre,2,5,120,8
2024-03-27,Pull B,pull,,Soulevé de terre,3,4,120,8.5
2024-03-27,Pull B,pull,,Rowing haltère,1,10,30,7
2024-03-27,Pull B,pull,,Rowing haltère,2,10,30,8
2024-03-27,Pull B,pull,,Rowing haltère,3,8,30,8.5
2024-03-27,Pull B,pull,,Tirage horizontal poulie,1,10,55,7
2024-03-27,Pull B,pull,,Tirage horizontal poulie,2,10,55,8
2024-03-27,Pull B,pull,,Tirage horizontal poulie,3,8,55,8
2024-03-27,Pull B,pull,,Curl marteau,1,12,18,7
2024-03-27,Pull B,pull,,Curl marteau,2,10,18,8
2024-03-27,Pull B,pull,,Curl marteau,3,10,18,8.5
2024-03-29,Legs B,legs,,Squat bulgare,1,10,22,7.5
2024-03-29,Legs B,legs,,Squat bulgare,2,8,22,8
2024-03-29,Legs B,legs,,Squat bulgare,3,8,22,8.5
2024-03-29,Legs B,legs,,Soulevé de terre roumain,1,8,75,7
2024-03-29,Legs B,legs,,Soulevé de terre roumain,2,8,75,8
2024-03-29,Legs B,legs,,Soulevé de terre roumain,3,6,75,8.5
2024-03-29,Legs B,legs,,Leg extension,1,15,50,7
2024-03-29,Legs B,legs,,Leg extension,2,12,50,8
2024-03-29,Legs B,legs,,Leg extension,3,12,50,8
2024-03-29,Legs B,legs,,Fentes,1,12,20,7
2024-03-29,Legs B,legs,,Fentes,2,10,20,8
2024-03-29,Legs B,legs,,Fentes,3,10,20,8.5
2024-03-31,Push A,push,,Développé couché barre,1,8,87.5,7
2024-03-31,Push A,push,,Développé couché barre,2,8,87.5,8
2024-03-31,Push A,push,,Développé couché barre,3,6,87.5,8.5
