# SÉANCES DE MUSCULATION
date,name,type,exName,exNotes,isUnilateral,setOrder,reps,weight,repsRight,weightRight,rpe,notes
2025-12-11,Push,push,Développé militaire,,non,2,6,52.5,,,,
2025-12-11,Push,push,Développé militaire,,non,3,6,52.5,,,,
2025-12-11,Push,push,Développé militaire,,non,4,6,52.5,,,,
2025-12-15,Push,push,Développé militaire,,non,1,6,55,,,,
2025-12-15,Push,push,Développé militaire,,non,2,6,55,,,,
2025-12-15,Push,push,Développé militaire,,non,3,5,55,,,,
2025-12-18,Push,push,Développé militaire,,non,1,6,55,,,,
2025-12-18,Push,push,Développé militaire,,non,2,6,55,,,,
2025-12-18,Push,push,Développé militaire,,non,3,6,55,,,,
2025-12-22,Push,push,Développé militaire,,non,1,5,57.5,,,,
2025-12-22,Push,push,Développé militaire,,non,2,5,57.5,,,,
2025-12-22,Push,push,Développé militaire,,non,3,4,57.5,,,,
2025-12-29,Push,push,Développé militaire,,non,1,8,47.5,,,,Retour vacances de Noël
2025-12-29,Push,push,Développé militaire,,non,2,8,47.5,,,,
2025-12-29,Push,push,Développé militaire,,non,3,8,47.5,,,,
2026-01-05,Push,push,Développé militaire,,non,1,8,50,,,,Reprise en force en 2026
2026-01-05,Push,push,Développé militaire,,non,2,8,50,,,,
2026-01-05,Push,push,Développé militaire,,non,3,8,50,,,,
2026-01-08,Push,push,Développé militaire,,non,1,6,52.5,,,,
2026-01-08,Push,push,Développé militaire,,non,2,6,52.5,,,,
2026-01-08,Push,push,Développé militaire,,non,3,6,52.5,,,,
2026-01-12,Push,push,Développé militaire,,non,1,6,55,,,,
2026-01-12,Push,push,Développé militaire,,non,2,6,55,,,,
2026-01-12,Push,push,Développé militaire,,non,3,6,55,,,,
2026-01-15,Push,push,Développé militaire,,non,1,5,57.5,,,,
2026-01-15,Push,push,Développé militaire,,non,2,5,57.5,,,,
2026-01-15,Push,push,Développé militaire,,non,3,5,57.5,,,,
2026-01-19,Push,push,Développé militaire,,non,1,5,57.5,,,,
2026-01-19,Push,push,Développé militaire,,non,2,5,57.5,,,,
2026-01-19,Push,push,Développé militaire,,non,3,5,57.5,,,,
2026-01-22,Push,push,Développé militaire,,non,1,5,60,,,,PR — 60 kg !
2026-01-22,Push,push,Développé militaire,,non,2,5,60,,,,
2026-01-22,Push,push,Développé militaire,,non,3,4,60,,,,
2026-01-26,Push,push,Développé militaire,,non,1,5,60,,,,
2026-01-26,Push,push,Développé militaire,,non,2,5,60,,,,
2026-01-26,Push,push,Développé militaire,,non,3,5,60,,,,
2026-01-29,Push,push,Développé militaire,,non,1,4,62.5,,,,
2026-01-29,Push,push,Développé militaire,,non,2,4,62.5,,,,
2026-01-29,Push,push,Développé militaire,,non,3,3,62.5,,,,
2026-02-02,Push,push,Développé militaire,,non,1,5,60,,,,
2026-02-02,Push,push,Développé militaire,,non,2,5,60,,,,
2026-02-02,Push,push,Développé militaire,,non,3,5,60,,,,
2026-02-05,Push,push,Développé militaire,,non,1,5,62.5,,,,
2026-02-05,Push,push,Développé militaire,,non,2,5,62.5,,,,
2026-02-05,Push,push,Développé militaire,,non,3,4,62.5,,,,
2026-02-09,Push,push,Développé militaire,,non,1,5,62.5,,,,
2026-02-09,Push,push,Développé militaire,,non,2,5,62.5,,,,
2026-02-09,Push,push,Développé militaire,,non,3,5,62.5,,,,
2026-02-12,Push,push,Développé militaire,,non,1,4,65,,,,Nouveau palier — 65 kg
2026-02-12,Push,push,Développé militaire,,non,2,4,65,,,,
2026-02-12,Push,push,Développé militaire,,non,3,3,65,,,,
2026-02-16,Push,push,Développé militaire,,non,1,5,62.5,,,,
2026-02-16,Push,push,Développé militaire,,non,2,5,62.5,,,,
2026-02-16,Push,push,Développé militaire,,non,3,5,62.5,,,,
2026-02-19,Push,push,Développé militaire,,non,1,5,65,,,,
2026-02-19,Push,push,Développé militaire,,non,2,5,65,,,,
2026-02-19,Push,push,Développé militaire,,non,3,4,65,,,,
2026-02-23,Push,push,Développé militaire,,non,1,4,67.5,,,,
2026-02-23,Push,push,Développé militaire,,non,2,4,67.5,,,,
2026-02-23,Push,push,Développé militaire,,non,3,3,67.5,,,,
2026-02-26,Push,push,Développé militaire,,non,1,5,65,,,,
2026-02-26,Push,push,Développé militaire,,non,2,5,65,,,,
2026-02-26,Push,push,Développé militaire,,non,3,5,65,,,,
2026-03-02,Push,push,Développé militaire,,non,1,5,65,,,,
2026-03-02,Push,push,Développé militaire,,non,2,5,65,,,,
2026-03-02,Push,push,Développé militaire,,non,3,5,65,,,,
2026-03-05,Push,push,Développé militaire,,non,1,5,67.5,,,,
2026-03-05,Push,push,Développé militaire,,non,2,5,67.5,,,,
2026-03-05,Push,push,Développé militaire,,non,3,4,67.5,,,,
2026-03-09,Push,push,Développé militaire,,non,1,4,70,,,,PR — 70 kg !
2026-03-09,Push,push,Développé militaire,,non,2,4,70,,,,
2026-03-09,Push,push,Développé militaire,,non,3,3,70,,,,
2026-03-12,Push,push,Développé militaire,,non,1,5,67.5,,,,
2026-03-12,Push,push,Développé militaire,,non,2,5,67.5,,,,
2026-03-12,Push,push,Développé militaire,,non,3,5,67.5,,,,
2026-03-16,Push,push,Développé militaire,,non,1,5,70,,,,
2026-03-16,Push,push,Développé militaire,,non,2,5,70,,,,
2026-03-16,Push,push,Développé militaire,,non,3,4,70,,,,
2026-03-19,Push,push,Développé militaire,,non,1,4,72.5,,,,
2026-03-19,Push,push,Développé militaire,,non,2,4,72.5,,,,
2026-03-19,Push,push,Développé militaire,,non,3,3,72.5,,,,
2026-03-23,Push,push,Développé militaire,,non,1,5,70,,,,
2026-03-23,Push,push,Développé militaire,,non,2,5,70,,,,
2026-03-23,Push,push,Développé militaire,,non,3,5,70,,,,
2026-03-26,Push,push,Développé militaire,,non,1,4,72.5,,,,
2026-03-26,Push,push,Développé militaire,,non,2,4,72.5,,,,
2026-03-26,Push,push,Développé militaire,,non,3,4,72.5,,,,
